ID,Name,CodeString,MasterID
1,length,ST_length,1
2,mean,DN_mean,5
3,harmonic_mean,DN_hmean,6
4,median,DN_median,8
5,trimmed_mean_1,DN_TrimmedMean_1,13
6,trimmed_mean_5,DN_TrimmedMean_5,14
7,trimmed_mean_10,DN_TrimmedMean_10,15
8,trimmed_mean_25,DN_TrimmedMean_25,16
9,trimmed_mean_50,DN_TrimmedMean_50,17
10,midhinge,DN_midhinge,9
11,DN_HistogramMode_5,DN_HistogramMode_5,10
12,DN_HistogramMode_10,DN_HistogramMode_10,11
13,DN_HistogramMode_20,DN_HistogramMode_20,12
14,maximum,DN_max,3
15,miminmum,DN_min,4
16,rms,DN_rms,7
17,burstiness_Goh,DN_burstiness.B,2
18,burstiness_Kim,DN_burstiness.B_Kim,2
19,standard_deviation,DN_Spread_std,18
20,mean_absolute_deviation,DN_Spread_mad,19
21,interquartile_range,DN_Spread_iqr,20
22,median_absolute_deviation,DN_Spread_mead,21
23,DN_Moments_3,DN_Moments_3,22
24,DN_Moments_4,DN_Moments_4,23
25,DN_Moments_5,DN_Moments_5,24
26,DN_Moments_6,DN_Moments_6,25
27,DN_Moments_7,DN_Moments_7,26
28,DN_Moments_8,DN_Moments_8,27
29,DN_Moments_9,DN_Moments_9,28
30,DN_Moments_10,DN_Moments_10,29
31,DN_Moments_11,DN_Moments_11,30
32,DN_Moments_raw_3,DN_Moments_raw_3,31
33,DN_Moments_raw_4,DN_Moments_raw_4,32
34,DN_Moments_raw_5,DN_Moments_raw_5,33
35,DN_Moments_raw_6,DN_Moments_raw_6,34
36,DN_Moments_raw_7,DN_Moments_raw_7,35
37,DN_Moments_raw_8,DN_Moments_raw_8,36
38,DN_Moments_raw_9,DN_Moments_raw_9,37
39,DN_Moments_raw_10,DN_Moments_raw_10,38
40,DN_Moments_raw_11,DN_Moments_raw_11,39
41,skewness_pearson,DN_CustomSkewness_pearson,40
42,skewness_bowley,DN_CustomSkewness_bowley,41
43,coeff_var_1,DN_cv_1,83
44,coeff_var_2,DN_cv_2,84
45,DN_Withinp_05,DN_Withinp_05,42
46,DN_Withinp_10,DN_Withinp_10,43
47,DN_Withinp_15,DN_Withinp_15,44
48,DN_Withinp_20,DN_Withinp_20,45
49,DN_Withinp_25,DN_Withinp_25,46
50,DN_Withinp_30,DN_Withinp_30,47
51,DN_Withinp_median_05,DN_Withinp_median_05,48
