ID,Name,Keywords,Length
1,R_2010_11_25__11_33_52___1___1,H,26197
2,R_2010_11_26__15_03_20___1___9,H,26156
3,R_2011_03_07__15_56_31___1___11,H,26196
4,R_2010_11_26__12_26_18___2___7,H,26195
5,R_2010_11_26__15_45_00___2___11,H,26196
6,R_2011_03_07__16_32_48___2___13,H,26196
7,R_2011_03_15__12_02_16___2___3,H,26195
8,R_2011_02_17__12_12___3___5,H,26195
9,R_2011_03_07__11_08___3___1,H,26196
10,R_2011_03_07__12_53_10___6___7,H,26197
11,R_2011_03_07__12_20_37___7___5,H,26196
12,R_2011_03_15__16_21_26___7___11,H,26196
13,R_2011_04_14__11_34_00___7___1,H,26197
14,R_2011_02_17__11_39_10___8___3,H,26195
15,R_2011_03_07__11_44_56___8___3,H,26195
16,R_2011_03_08__12_25_53___8___3,H,26194
17,R_2011_03_10__12_06_01___8___5,H,26195
18,L_2010_11_26__11_16___3___3,H,26196
19,L_2011_03_08__11_48___3___1,H,26195
20,L_2011_03_10__11_28___3___3,H,26195
21,L_2011_03_15__15_12___3___7,H,26196
22,L_2011_03_10__16_30_47__11,H,26196
23,L_2011_03_08__15_18_16___6___7,H,26197
24,L_2011_03_10__15_49_37___6___9,H,26197
25,L_2011_04_14__12_04_48___6___3,H,26197
26,L_2011_02_17__11_02_52___7___1,H,26196
27,L_2011_03_10__12_41_39___7___7,H,26197
28,L_2010_11_26__10_37_45___8___1,H,26195
29,L_2011_02_17__12_50_29___8___7,H,26195
30,R_2011_08_04__11_09_01___1___3,dpy_20,26197
31,R_2011_08_25__12_18_40___1___4,dpy_20,26196
32,R_2011_08_09__11_30_24___2___4,dpy_20,26196
33,R_2011_08_25__12_39_28___2___5,dpy_20,26196
34,R_2011_08_04__12_10___4___6,dpy_20,26195
35,R_2011_08_25__15_24_09__8,dpy_20,26195
36,R_2011_08_04__12_51_11___6___6,dpy_20,26197
37,R_2011_08_09__12_58_43___6___8,dpy_20,26197
38,R_2011_08_24__11_21_59___6___5,dpy_20,26197
39,R_2011_08_25__15_40_16___6___9,dpy_20,26197
40,R_2011_08_04__10_33_56___7___1,dpy_20,26197
41,R_2011_08_24__11_47_04___7___6,dpy_20,26196
42,R_2011_08_09__10_54_50___8___2,dpy_20,26195
43,R_2011_08_19__12_43_48___8___7,dpy_20,26195
44,L_2011_08_09__11_08_04___1___3,dpy_20,26196
45,L_2011_08_24__12_59_56___1___10,dpy_20,26196
46,L_2011_08_04__11_30_01___2___4,dpy_20,26196
47,L_2011_08_19__10_45_32___2___1,dpy_20,26196
48,L_2011_08_24__09_59_17___2___1,dpy_20,26196
49,L_2011_08_04__11_50___3___5,dpy_20,26195
50,L_2011_08_19__10_59___3___2,dpy_20,26196
51,L_2011_08_24__10_20___3___2,dpy_20,26196
52,L_2011_08_24__10_42___4___3,dpy_20,26195
53,L_2011_08_25__15_00___4___7,dpy_20,26196
54,L_2011_08_09__12_33_49__7,dpy_20,26196
55,L_2011_08_19__11_42_29__4,dpy_20,26195
56,L_2011_08_24__11_05_26__4,dpy_20,26195
57,L_2011_08_19__12_00_59___6___5,dpy_20,26197
58,L_2011_08_09__10_33_28___7___1,dpy_20,26197
59,L_2011_08_19__12_24_45___7___5,dpy_20,26196
60,L_2011_08_25__16_01_53___7___10,dpy_20,26197
61,L_2011_08_04__10_52_51___8___2,dpy_20,26195
62,L_2011_08_24__12_07_53___8___7,dpy_20,26195
63,L_2011_08_25__11_23_10___8___1,dpy_20,26195
64,R_2011_08_19__11_17_38___1___3,unc_9,26196
65,R_2011_08_19__12_00___3___5,unc_9,26196
66,R_2011_09_20__13_29___4___7,unc_9,26196
67,R_2011_08_19__12_43_51__7,unc_9,26195
68,R_2011_09_13__12_02_47__3,unc_9,26195
69,R_2011_09_20__15_22_40__9,unc_9,26195
70,R_2011_09_13__12_20_10___6___4,unc_9,26197
71,R_2011_08_19__13_25_38___7___8,unc_9,26196
72,R_2011_09_13__12_43_56___7___5,unc_9,26196
73,R_2011_09_20__11_43_53___7___2,unc_9,26201
74,R_2011_08_19__15_23_29___8___10,unc_9,26195
75,R_2011_09_20__12_03_07___8___3,unc_9,26195
76,L_2011_09_13__16_17_44___1___12,unc_9,26196
77,L_2011_09_20__12_17_31___1___4,unc_9,26197
78,L_2011_08_19__11_38_54___2___4,unc_9,26195
79,L_2011_09_13__16_37_17___2___12,unc_9,26195
80,L_2011_09_20__12_41_06___2___5,unc_9,26196
81,L_2011_08_19__12_20___4___6,unc_9,26195
82,L_2011_09_13__11_39___4___2,unc_9,26196
83,L_2011_09_20__11_20_57___6___1,unc_9,26197
84,R_2010_09_17__11_53_30___1___3,unc_38,26197
85,R_2011_09_06__16_47_06___1___10,unc_38,26197
86,R_2011_09_13__12_57_08___1___6,unc_38,26196
87,R_2011_09_15__11_37_38___1___2,unc_38,26196
88,R_2011_08_11__10_58_35___2___4,unc_38,26196
89,R_2010_09_17__11_55_31___4___3,unc_38,26196
90,R_2011_08_11__11_41___4___6,unc_38,26196
91,R_2011_09_06__16_49___4___11,unc_38,26196
92,R_2011_09_13__15_39___4___9,unc_38,26196
93,R_2011_09_15__12_39___4___5,unc_38,26196
94,R_2010_08_19__12_38_00__7,unc_38,23022
95,UNLABELED,unc_38,26196
96,R_2010_08_19__12_35_47___6___7,unc_38,26197
97,R_2010_09_23__11_36_31___6___3,unc_38,26197
98,R_2011_09_15__13_19_10___6___7,unc_38,26197
99,R_2010_09_17__11_57_24___7___3,unc_38,26196
100,R_2011_09_06__16_34_14___7___9,unc_38,26197
101,R_2011_09_13__16_41_36___7___12,unc_38,26197
102,R_2010_08_19__12_37_26___8___7,unc_38,26194
103,L_2010_08_19__12_34_15___1___6,unc_38,26196
104,L_2011_08_11__10_37_04___1___3,unc_38,26196
105,L_2010_08_19__12_35_23___2___7,unc_38,26196
106,L_2010_09_17__11_54_41___2___3,unc_38,26195
107,L_2011_09_06__16_48_54___2___10,unc_38,26195
108,L_2011_09_13__13_19_43___2___7,unc_38,26195
109,L_2011_09_15__11_59_23___2___3,unc_38,26196
110,L_2010_09_17__11_55___3___3,unc_38,26195
111,L_2010_09_17__11_57_25__3,unc_38,26195
112,L_2011_08_11__12_04_15__7,unc_38,26196
113,L_2011_09_06__16_33_36__9,unc_38,26196
114,L_2011_09_15__13_02_41__5,unc_38,26196
115,L_2010_09_17__11_55_09___6___3,unc_38,26197
116,L_2011_08_11__12_20_49___6___8,unc_38,26197
